작성일,책제목,제목,출처,내용
2006-09-08,예제로 배우는 플렉스 2-리치 인터넷 애플리케이션의 첫 걸음,[예제로 배우는 플렉스 2]뜨거운 반응 속에 예약판매중!,http://www.acornpub.co.kr/blog/8,"『예제로 배우는 플렉스 2-리치 인터넷 애플리케이션의 첫 걸음』는 플래시는 어느 정도 알고 있는 플렉스 초보 개발자들을 위한 입문서입니다. 하나씩 간단한 예제를 따라 해보면서 플렉스 2에 대한 개념을 파악하고 RIA를 제작하는 기틀을 마련할 수 있게 하기 위함이 가장 큰 목적입니다. 무엇보다도 어도비 플렉스 컨설턴트인 옥상훈님이 강연하고 잡지에 기고해왔던 모든 내용이 녹아 있는 책입니다.

9월 15일 출간 예정인 『예제로 배우는 플렉스 2』는 현재 교보문고, YES24, 강컴, 인터파크 4개 서점에서 절찬리에 예약판매중입니다. 그동안 갈증을 느껴왔던 분야의 책이어서 그런지 독자분들의 열기가 후끈 달아오르고 있습니다. 그만큼 저자분과 저희 편집팀의 어깨가 더욱 무거워집니다.

어느 작업이든 100% 만족을 할 수는 없을 겁니다. 저희 책에서도 약간의 보완할 내용이 있어서 어제, 아니 오늘 새벽4시까지 감수자인 kenu님과 okcode님, 저자 옥상훈님과 열띤 편집 회의를 거쳐, 독자분들께 죄송스럽지만 출간일을 1주일 정도 연기하기로 결정했습니다. 이미 예약판매를 하신 독자분들께 다시 한번 죄송하다는 말씀을 드리며, 좋은 책을 만들기 위함이니 이 점 양해해주시면 정말 감사하겠습니다. 출간 예정일은 9월 22일로 잡아 두었습니다만 인터넷 서점에서는 25일 정도에 발송이 될 예정이며, 자세한 일정은 블로그를 통해 다시 알려드리겠습니다.

아, 그건 그렇고 2주동안의 강행군을 거쳐 출간연기를 하게 되니 게임회사 이야기의 만화 한 컷이 떠오르는군요. 사실 게임회사 이야기가 그토록 인기를 얻은 건 비단 게임회사만의 이야기가 아니었기 때문일 겁니다. ㅡ.ㅡ"
2006-09-23,조엘 온 소프트웨어- 유쾌한 오프라인 블로그,[조엘 온 소프트웨어] 끊임없는 사랑에 감사합니다,http://www.acornpub.co.kr/blog/16,"독자여러분의 끊임없는 사랑에 힘입어, 2005년 4월 봄 여러분께 선보인 『조엘 온 소프트웨어- 유쾌한 오프라인 블로그』를 x,000부 또다시! 증쇄했습니다. 

2005년 결산 마이크로소프트웨어 잡지 선정 최고의 책 1위를 비롯, 네이버책 선정 IT업계 종사자를 위한 필독 도서로 꼽히는 영광을 누리는 것은 물론, 아직도 『조엘 온 소프트웨어』는 각종 인터넷서점 베스트셀러 목록에도 빠지지 않고 있습니다. 무엇보다도 여러 블로그와 인터넷서점에 높은 별점과 함께 올라있는 독자들의 서평을 읽을 때면 그 따뜻한 성원에 감동하곤 합니다.

작년 봄 처음 책을 펴낼 때만 해도 인터넷 검색에서 ""조엘 온 소프트웨어""를 치면, 검색결과로 가수 빌리 조엘이나 배트맨의 조엘 슈마허 감독의 이름만 오르내렸는데, 요새는 그냥 ""조엘""로만 검색해도 무수한 조엘 온 소프트웨어 관련 페이지가 뜨네요(이런 사소한 결과에 뿌듯해하는 새가슴 편집자입니다. ^^;) 조엘 온 소프트웨어로 인연을 맺은 박재호, 이해영님과는 다음주 출간 예정인 리눅스 책을 비롯, 앞으로도 ""손에 땀을 쥘만한 흥미진진한(!)"" 책을 내기위해 함께 노력중입니다.


X쇄를 기념해 표지와 띠지를 살짜쿵 바꿔보았습니다. 앞으로도 많은 사랑 부탁드리며 열심히 노력해서 조엘 온 소프트웨어 못지 않은 좋은 책 펴내겠습니다."
2006-10-25,"SOA: 서비스 지향 아키텍처 - 개념에서 설계, 구현까지",한밤 중 SOA 끝내고 모처로 떠나기 직전!,http://www.acornpub.co.kr/blog/33,"『SOA: 서비스 지향 아키텍처 - 개념에서 설계, 구현까지』
(10월 31일 출간 예정)
서비스 지향 아키텍처는 뜨거운 주제임에도 불구하고, 오늘날 IT 업계가 이를 제대로 이해하고 있는 곳은 흔치 않다. 토마스는 이 책에서 서비스 지향과 웹서비스에 대해 개념, 스펙, 표준을 명확하게 설명하고 있으며, 기업환경에서 SOA를 적용하기 위한 서비스 지향 계획과 분석, 설계에 대해 상세한 가이드를 제공하고 있다. - 알렉스 린치 / 마이크로소프트 엔터프라이즈 서비스 수석 컨설턴트국내에서도 이미 일부 공공기관과 기업들이 SOA 기반의 정보시스템 구축을 추진하고 있으며, 향후 크게 확산될 것으로 예상됩니다. SOA를 도입하려고 하는 기업의 IT 부서 실무자들은 물론이고, 경영자, SOA에 관심을 갖고 있는 학생들에게도 이 책이 훌륭한 지침서가 되리라 믿습니다.

- 삼성 SDS CTO/ 생산성 혁신 본부장 박준성 전무국내에 적절한 가이드가 없어 어려움이 많은 때에, 실제로 현장에서 적용 가능한 SOA의 정확한 개념정의와 설명에서 실제 분석과 설계까지를 상세히 다루고 있는 이 책의 출간은 큰 의미를 지닙니다. 이 책은 단순히 개념정의를 위한 것이 아니라 풍부한 사례를 통해 현장에서 실제 적용할 수 있는 충실한 가이드입니다.

- BEA Korea 컨설팅 부문 유용근 수석 컨설턴트
며칠간의 분투 끝에 이제 드디어 끝냈습니다. 어제 밤을 꼬박 새우고 회사로 직행하신 조문옥 선임님과, 박카스 한 병 손에 들고 그 새벽에 출장 근무지인 대전으로 직접 차를 몰고 내려가신 장세영 책임님, 오늘은 그쪽에서 주무신다니 다행이네요. 늘 화기애애한 분위기에서 멋진 글을 자아내시는 이현정 선임님, 황상철 선임님-이제는 번역의 경지에 오르신 듯합니다. 역자분들의 노고에 감사드립니다. 다음 책 하실 때에는 주옥같은 원고를 그냥 뚝딱 만들어내시리라, 기대가 큽니다. ^^

10월의 마지막날을 장식할 신간 SOA: 서비스 지향 아키텍처를 기대해주세요.

마지막 한 마디: 이 책 작업하는 동안  저희 사장님이 우리 직원들의 늦은 야근에 좌불안석 상심이 많으셨습니다. 늘 걱정해주시고 가장 큰 힘이 되어주시는 사장님이 많이 힘내셨으면 좋겠습니다. ^^/ (신 용비어천가는 절대 아니고 직접 건네기 어려운 우리들의 짧은 사연 한 줄로 봐주세요~)
하나 더! 고생 많은 홍스군, 내일 시험 잘봐요~ ㅎㅎㅎ 아자!"
2006-10-31,"SOA: 서비스 지향 아키텍처 - 개념에서 설계, 구현까지",드디어 『SOA: 서비스 지향 아키텍처』 출간!,http://www.acornpub.co.kr/blog/37,"10월의 마지막 날, 드디어 『SOA: 서비스 지향 아키텍처 - 개념에서 설계, 구현까지』가 출간되었습니다.


이 책에서 SOA에 관한 절대적이고 상대적인 많은 지식을 얻어가시기 바랍니다.

10월의 마지막 날은 오래 전 가수가 유행시킨 노래 가사에서도 나와 일컬어지지만 뿐만 아니라 아이다호라는 영화에서 길의 감식자를 자처하며 부유하는 안타까운 젊음을 연기한 배우 리버 피닉스가 요절한 날입니다. 그가 영화에서 마지막 남긴 말이 생각나네요.

""Wherever, Whatever, Have a Nice Day!"" 

모쪼록, 즐거운 하루 보내시고 남은 한 해 마무리하는 힘찬 11월 열어가시기 바랍니다."
2006-11-01,Ajax 인 액션,[출간 예정] 『스프링 인 액션』,http://www.acornpub.co.kr/blog/38,"(Craig Walls 지음 / 이태상 옮김 / 30,000원 / 11월 20일 출간예정)

『Ajax 인 액션』을 필두로 하여 좋은 원서에 걸맞는 정성들인 번역으로 독자들의 사랑을 받고 있는 ""에이콘 인 액션"" 시리즈의 신간이 독자 여러분을 찾아 갑니다.

EJB가 필요치 않은, 강력하면서도 가벼운 J2EE 애플리케이션 프레임워크인 스프링(Spring)은 개발 편리성과 생산성을 높여줌은 물론이고, ""제어 역행""(IoC, Inversion of Control)과 ""관점 지향 프로그래밍""(AOP, Aspect Oriented Programming)의 혁신적인 개념과 사상이 녹아있는 새로운 프레임워크입니다.『스프링 인 액션』에서는,

(1) 스프링은 과연 무엇인가? 
스프링을 개념부터 철저하게 파헤치고 차근차근 배울 수 있습니다. 

(2) 혁신적인 사상이 녹아 있는 스프링! 
책을 읽으면서 제어 역행(IoC)과 관점지향 프로그래밍(AOP) 개념을 체득하여 스스로 느끼게끔 이끌어 줍니다.

(3) 인 액션 시리즈의 명성!
기존의 인 액션 시리즈 답게 예제를 단계별로 확장해 감으로써 실전에서 바로 활용할 수 있는 코드를 완성해 갑니다.

Craig Walls와 Ryan Breidenbach이 집필한 이 책은 『톰캣 최종분석』과 『JSF 인 액션』을 옮긴 이태상님이 번역했습니다."
2006-11-02,Programming Flex 2,『예제로 배우는 플렉스 2』 날개를 달다~!,http://www.acornpub.co.kr/blog/39,"한국은 플렉스에 열광하고 있다!

『Programming Flex 2』가 플렉스 2 애플리케이션 개발에 관한 첫 책이란 글을 쓴 적이 있는데, 내 말이 틀린 것 같다. 첫 번째 플렉스 2 책은 이미 출간된 것 같으니... 것도 한국어로 된 책이다.

한국에 있는 플렉스 커뮤니티에 대해 좋은 이야기를 많이 들어왔는데, 언젠가 꼭 한번 가보고 싶다.

mannu라는 블로거가 저희 플렉스 책에 대해서 쓴 글이 있더군요.
너무 쉬운 영어라 한글로 옮긴 점 양해해주시고 원문을 보아주세요~ ^^;

아마도 네이버 FlexComponent 카페 회원님들의 폭넓은 교류 덕분에 플렉스 2 책이 날개를 단 게 아닐까 싶네요. 감사합니다. ^-^ 

여하튼 상쾌한 아침, 기분 좋은 소식이었습니다."
2006-11-03,리눅스 커널 심층분석 개정 2판,[스페셜 이슈] 사람 알아보는 프로그램과 한판 겨루기!,http://www.acornpub.co.kr/blog/40,"『리눅스 커널 심층분석 개정 2판』을 번역하고, 『셸 스크립트:101가지 예제로 정복하는』책에서 번역과 다름 없는 꼼꼼한 감수를 해주신 ""리눅스 커널 개발자"" 강호관님이 제4호 스페셜 이슈에 프로그램 개발과정에서 닥치는 당면한 문제를 어떻게 분석하고 해결해야 할지 사람 알아보는 프로그램과 정면 승부 한판을 다루는 재미있는 글을 기고해주셨습니다. 
'나'에게 문제가 있는 건지 '프로그램'에 문제가 있는 건지 도무지 헷갈리는 경우를 접해본 적 있으십니까? 내가 실행하면 잘 되는데 다른 사람이 실행하면 문제가 발생하거나, 그 반대 경우인 프로그램들이 종종 있습니다. 과연 프로그램이 사람을 가리는 걸까요?이 때 정말 프로그램에는 이상이 없는지 어떻게 확인할 수 있을까요? 어디에 숨어 있는지 찾아내기 힘든 문제의 원인. 하지만 엉킨 실타래를 풀어나가기 위해서는 내공과 노하우가 필요합니다. 보통의 경우보다 더 꼼꼼히 분석하기 위해서는 무엇을, 어떻게, 왜 살펴봐야 할까요? 자, 흥미진진한 이야기가 계속 이어집니다.▶▷ 기사 읽으러 가기 >>>"
2006-11-07,조엘 온 소프트웨어,"""이수인""님이 보내온 에이콘 10주년 축하 메시지",http://www.acornpub.co.kr/blog/43,"많은 출판사에 전화도 해보고, 메일도 보냈지만 다들 게임회사 이야기에 별 관심이 없던 작년 여름.. 『조엘 온 소프트웨어』를 보고 우연히 전화했던 에이콘출판사와 인연을 맺게 되었지요. 앞으로도 좋은 책들이 많이 나오고, 많은 사람들의 사랑을 받으면 좋겠습니다. 

그나저나 에이콘 사장님 원츄>_<b 10주년 축하드려요. - 이수인독자들에게 에이콘이라는 이름을 한번 더 각인시켜준 『게임회사 이야기』의 저자인 이수인님께서 이렇게나 멋진 축전을 그려 보내주셨습니다. 정말 감사합니다. :D
10년 동안 회사를 일구느라 고생하신 사장님이 멋진 주인공이시네요. ;)"
2006-11-13,스프링 인 액션,[오늘의 요리] 야채먹고 와인에 취한 닭 오븐구이,http://www.acornpub.co.kr/blog/45,"『스프링 인 액션』원고를 드디어 마감했습니다. 역자인 이태상님이 『톰캣 최종분석』, 『JSF 인 액션』 등 벌써 세 번째 책을 펴내는 것이어서, 역시나 다른 책보다는 수월하게 마무리를 했습니다. 
앞으로도 몇 권의 비장의 책들을 준비 중인지라 연약한(!) 우리 직원들이 책 마감하면서 혹여 불면 날아갈세라... 지금과 같은 튼튼한 몸을 유지해주기 위해 특별 셰프홍스군이 특식을 준비해줬습니다. 오븐 특별 협찬은 사장님이 해주셨습니다. ^^ (우리 에이콘은 어찌 남자들이 이런 데 관심이나 재주가 더 많은 건지 잘 모르겠습니다. --;)

날렵한 솜씨로 양파, 당근 등 야채를 준비하는 저 솜씨.

배가 터지지 않을 정도로만 야채를 차근차근 넣어줍니다.

실로 꽁꽁 포박을 한 후 꼬치에 푸욱.. 윽.

각종 향신료 등을 넣은 와인에 닭을 풍덩 빠뜨려 취하게 한 후 오븐에 넣고 반 시간 남짓을 끈기 있게 기다리면 요리가 완성됩니다. 
(근데 거기 언니, 안그래도 귀엽다니까~ 흐흐흐.. 윽. -.-)

유리창으로 비치던 나스타샤 킨스키가 인상적이던 영화 '파리, 텍사스'의 한 장면을 연상시키는 장면이군요. 아, 그런데 그녀는 저리도 애처로운 표정으로 다름 아닌....통닭이 구워지기만을 기다리고 있습니다. -.- 아, 우리 언니들 왜 이럴까~~ 흑.
오른쪽은 담소를 나누고 있는 특급셰프장들이십니다. 홍스군. 이 총각을 데리고 갈 행운의 여주인공은 누굴지 참.. 당신은 앞으로 끼니 걱정은 안하셔도 될 듯합니다! :)

아, 노릇노릇 잘 구워진 오늘의 요리가 완성되었습니다. 아, 이 향긋한 냄새를 전해드릴 수 없음이 안타깝군요. 그 이후, 먹성 좋은 에이콘 식구들과 만난 이 닭의 행방은 안봐도 DVD라는.. -.-

자, 야채 먹고 와인에 취한 닭 먹고 열심히 만든 『스프링 인 액션』에서는 왠지 향긋하고 맛있는 음식 냄새가 날 것 같지 않으세요? ㅎㅎ 기대해주세요.

앗, 그러고 보니 금요일날 오셔서 열심히 원고 보고 마무리 하시고도 럭셔리 야식을 대접 못해드린 태상님. 다음에 오시면 꼭 준비해드릴게요~."
2006-11-20,이클립스 RCP,[출간 예정] 『이클립스 RCP』,http://www.acornpub.co.kr/blog/49,"(『이클립스 RCP』: Jeff McAffer /Jean-Michael Lemieux 지음, 양석호 옮김, 
11월 30일 출간예정, 가격 35,000원)

이클립스 IDE의 모든 것을 이해해야 하는 플러그인 개발보다는, 좀 더 간결한 이클립스 RCP 위에서 조립하는 즐거움을 누리는 것이 이클립스 플랫폼 개발에 좀 더 쉽게 접근할 수 있는 방법이라고 생각한다. 또한 플러그인과 RCP를 아우르는 시야를 갖춤으로써 이클립스 기본 철학을 이해할 수 있으며, 좀더 여유를 갖고 그 철학에 걸맞게 설계해갈 수 있을 것이다.

옮긴이 서문 중에서..
HTML 표준에 기반한 단순 웹 애플리케이션으로는 사용자의 눈길을 끌기가 점점 어려워지고 있는 듯합니다. 또한 기업용 애플리케이션에서는 SOA를 비롯한 다양한 기술로 인해 웹이 점점 플랫폼화되어 가고 있다보니, 브라우저와 같은 특정 클라이언트에만 의존할 필요도 없어지고 있습니다. 따라서 최근에는 사용자 중심으로 관점을 옮겨 사용자가 좀더 쓰기 편하게 만드는 ‘풍부한 사용자 경험(Rice User Interface)’에 대한 관심이 높아지고 있습니다. 플렉스를 비롯한 리치 인터넷 애플리케이션이나 리치 클라이언트 애플리케이션들이 부각되고 있는 것입니다.

이와 같은 리치 클라이언트 애플리케이션에 대한 호응과 함께 자바로 구축된 서버와 쉽게 연동하는 자바 클라이언트의 개발에 대한 요구가 높아지면서, 이클립스 3.0부터 등장한 이클립스 RCP는 제대로 된 크로스 플랫폼 자바 GUI 애플리케이션을 개발할 수 있는 리치 클라이언트 플랫폼으로 자리매김했습니다. 개발자를 위한 플랫폼이었던 이클립스가 다시 개발자들의 전폭적인 지원을 받아 일반 사용자에게도 확산되는 것은 자연스러운 현상이겠지요.
이 책 『이클립스 RCP』는 이클립스 RCP 프로젝트 리더인 Jeff McAffer와 커미터 Jean-Michael Lemieux가 RCP 프로젝트를 개발하는 동안 직접 저술했습니다. 따라서 이클립스 RCP에 관한 한 실전과 이론이 모두 담겨있는 유일무이한 완결서라고 할 수 있습니다. 이 책을 옮긴 양석호님은 이클립스 플러그인 까페를 운영하고 있으며, 지난 7월 출간된 『 SWT/JFace 인 액션: 이클립스 스타일로 만드는 자바 GUI 애플리케이션』의 감수를 맡았습니다. 

이 책에서는 실전 애플리케이션인 메신저 클라이언트를 직접 만들어봅니다. 일상 생활에서 날마다 사용하는 메신저를 제작함으로써 RCP의 개념과 활용법 등을 손쉽게 익힐 수 있으며, 프로토타입 단계의 프로그래밍 수준을 넘어 설계, 최종 배포에 이르기까지 상용 제품을 만들어내는 전 과정에서 일어날 수 있는 모든 내용을 알기 쉽게 설명하고 있습니다."
