작성일,출처,제목,내용
2009-01-20,https://ko.wikinews.org/wiki/%EB%B2%84%EB%9D%BD_%EC%98%A4%EB%B0%94%EB%A7%88_%EB%AF%B8%EA%B5%AD_%EB%8C%80%ED%86%B5%EB%A0%B9_%EA%B3%B5%EC%8B%9D_%EC%B7%A8%EC%9E%84,버락 오바마 미국 대통령 공식 취임,"버락 오바마 미국 제44대 대통령이 공식 취임하였다. 오바마는 투표층과 투표율은 젊은 층과 여성 및 사회적 소수계층에서 더 높은 지지를 받았고, 이를 바탕으로 2008년 1월 3일에 치러진 아이오와 주의 미국 민주당 당원대회(caucus)에서 38%를 득표하여 30%를 득표한 존 에드워즈와 29%를 득표한 힐러리 클린턴을 제치고 승리하였다. 2008년 11월 4일, 대통령에 당선되었다.
2008년 8월 27일에 열린 민주당 전당대회에서 만장일치로 지명된 미국연방상원의원 조셉 바이든(Joseph Biden)이 오바마의 부통령이며, 관례에 따라 먼저 취임선서를 하였다."
2009-03-17,https://ko.wikinews.org/wiki/2018%EB%85%84%EA%B3%BC_2022%EB%85%84_FIFA_%EC%9B%94%EB%93%9C%EC%BB%B5_%EC%9C%A0%EC%B9%98_%ED%9B%84%EB%B3%B4_%ED%99%95%EC%A0%95,2018년과 2022년 FIFA 월드컵 유치 후보 확정,"FIFA는 입찰 등록 마감시한이었던 3월 17일까지 2018년 FIFA 월드컵과 2022년 FIFA 월드컵의 11개 개최 후보의 유치 신청서를 받았다. FIFA 월드컵 유치 신청 후보는 대한민국, 러시아, 멕시코, 미국, 오스트레일리아, 인도네시아, 일본, 잉글랜드, 카타르와 공동 개최를 신청한 네덜란드 - 벨기에, 스페인 - 포르투갈이다.
이 중 대한민국과 카타르는 2022년 월드컵만의 유치를 신청했으며, 나머지 후보들은 두 월드컵 모두의 유치를 신청하였다. 두 월드컵의 개최지는 2010년 12월, 22명으로 구성된 FIFA 집행위원회에서 동시에 발표될 예정이다.
월드컵 유치 신청 후보 가운데 과거에 월드컵 개최 경험이 있는 곳은 잉글랜드 (1966년), 멕시코 (1970년, 1986년), 미국 (1994년), 대한민국 (2002년 공동 개최), 일본 (2002년 공동 개최)과 공동 개최국 중 스페인 (1982년)이 있다."
2009-06-25,https://ko.wikinews.org/wiki/%27%ED%8C%9D%EC%9D%98_%ED%99%A9%EC%A0%9C%27_%EB%A7%88%EC%9D%B4%ED%81%B4_%EC%9E%AD%EC%8A%A8_%EC%82%AC%EB%A7%9D,'팝의 황제' 마이클 잭슨 사망,"'팝의 황제'라고 불리는 마이클 잭슨이 2009년 6월 25일 (현지시간), 미국 로스앤젤레스에서 50세의 나이로 사망하였다. LA 카운티 검시소는 오후 2시 26분 (현지시간)에 사망했다고 발표했으며, 자택에 의료진이 도착했을 때 이미 맥박과 호흡이 끊어져 있는 상태였고 심폐소생술을 했지만 반응이 없었으므로 실제 사망한 시각은 그보다 더 일렀던 것으로 전했다."
2009-08-09,"https://ko.wikinews.org/wiki/RCD_%EC%97%90%EC%8A%A4%ED%8C%8C%EB%87%B0%EC%9D%98_%EC%A3%BC%EC%9E%A5_%EB%8B%A4%EB%8B%88%EC%97%98_%ED%95%98%EB%A5%B4%EC%BC%80,_%EC%8B%AC%EC%9E%A5%EB%A7%88%EB%B9%84%EB%A1%9C_%EC%82%AC%EB%A7%9D","RCD 에스파뇰의 주장 다니엘 하르케, 심장마비로 사망","스페인 프리메라리가의 축구팀 RCD 에스파뇰의 주장인 다니엘 하르케가 심장마비로 26세의 나이에 사망하였다.
하르케는 이탈리아 피렌체의 코베르치아노로 프리시즌 훈련을 떠난 팀에 합류하였으며, 볼로냐 FC 1909와의 평가전을 앞두고 호텔에서 머물러있었다. 하르케의 룸메이트였던 페란 코로미나스는 하르케가 저녁 식사를 앞두고 여자친구와 전화 통화를 하고 있었다고 말했으며, 여자친구는 하르케와의 통화 도중 전화가 끊기자 코로미나스에게 연락하였고, 코로미나스는 호텔 측에 이 사실을 알렸다. 코로미나스는 방으로 돌아가 의식을 잃은 하르케를 발견했으며, 병원으로 옮겨 심폐소생술을 시도했지만 하르케는 이미 세상을 떠난 직후였다.
하르케가 숨을 거두자, RCD 에스파뇰은 볼로냐 FC 1909와의 경기를 취소하고, 곧바로 스페인으로 복귀하였다. FC 바르셀로나와 레알 마드리드 CF, 스페인 축구 연맹에서 하르케를 애도하는 성명을 발표하였고, 발렌시아 CF와 아스널 FC와의 친선 경기에서는 양 팀 선수들이 검은 완장을 팔에 차고 경기하였다.
하르케는 에스파뇰 유스에서 성장해 2002년 성인 무대에 데뷔하였으며, 시즌을 앞두고 팀의 주장인 라울 타무도가 아적하자, 다음 시즌부터 팀의 주장 완장을 이어받을 예정이었다."
2009-08-11,https://ko.wikinews.org/wiki/%EC%82%AC%EC%B1%84_%EB%B6%80%EB%8B%B4%EC%9C%BC%EB%A1%9C_%EC%82%AC%EB%A7%9D%EC%97%90_%EC%9D%B4%EB%A5%B8_%EB%B6%80%EB%85%80_%EC%82%AC%EA%B1%B4%EC%9D%98_%EC%82%AC%EC%B1%84%EC%97%85%EC%9E%90_%EC%A7%95%EC%97%AD_10%EC%9B%94_%ED%8C%90%EA%B2%B0,사채 부담으로 사망에 이른 부녀 사건의 사채업자 징역 10월 판결,"2008년 11월 25일 아버지가 7000만원(원금 300만 원) 이상의 사채를 진 대학생 딸을 죽이고 이틀 뒤에 자살한 사건이 있었다. 이 사건에서 숨진 딸은 2007년 7월에 300만 원을 사채업자로부터 빌렸는데 2008년 11월까지 이자로 7000만원으로 불어났다. 사채업자들은 피해자에게 성매매도 시키면서 대출 당시 확보한 연락처로 성매매 사실을 알리겠다는 협박도 했다. 이 사건을 수사한 서울지방경찰청 광역수사대는 “이씨가 숨진 뒤에도 사채업자들은 이씨 친구들에게 ‘죽은 애는 죽은 애고, 네가 이씨 보증을 섰으니 그 돈도 갚아야 한다’고 협박했다”고 전했다.
2009년 8월 11일 서울중앙지방법원 형사3단독 서승렬 판사는 이 사건과 관련해 사채업자 A씨(33)와 B씨(34)에게 각 징역 10월과 C씨(37) 등 2명에게 각 징역 8월을, 성매매 알선 등의 혐의로 불구속 기소된 D씨(41·여)에게는 벌금 1000만원을 선고했다. 재판부는 ""A씨 등은 경제적으로 열악한 지위에 있는 유흥업소 종업원들을 상대로 한 범행을 저질렀다""며 ""과다한 이자채무와 추심과정에서 저지른 협박과 강제추행 등으로 피해자와 그 가족들이 받은 심리적·육체적 고통이 매우 컸고, 일부 피해자를 죽음에 이르게 해 실형선고가 불가피 하다""고 밝혔다. 그러나 재판부는 ""B씨 등의 가족 및 친지들이 선처를 요청하는 탄원을 냈고 D씨는 생계를 책임지고 있는 가장으로, 최근 둘째 아이를 출산한 점 등 제반 정상을 참작했다""고 판시했다."
2009-11-11,https://ko.wikinews.org/wiki/%EB%8F%85%EC%9D%BC_%EC%B6%95%EA%B5%AC_%EA%B5%AD%EA%B0%80%EB%8C%80%ED%91%9C%ED%8C%80_%EA%B3%A8%ED%82%A4%ED%8D%BC_%EB%A1%9C%EB%B2%A0%EB%A5%B4%ED%8A%B8_%EC%97%94%EC%BC%80_%EC%82%AC%EB%A7%9D,독일 축구 국가대표팀 골키퍼 로베르트 엔케 사망,"하노버 경찰에 따르면, 현지 시간으로 10일 밤 독일 축구 국가대표팀의 골키퍼 로베르트 엔케가 사망하였다. 엔케는 노이슈타트-엘리베제 철도 건널목에서 열차에 치여 숨졌으며, 경찰은 엔케의 사망 원인을 자살로 추정하였다. 엔케의 자살에 독일 축구계와 유럽 축구계에서 애도의 뜻을 표했으며, 독일 축구 협회는 14일에 쾰른에서 열리기로 예정된 칠레와의 친선경기가 취소됐다고 밝혔고, 엔케의 옛 친정팀인 FC 바르셀로나는 10일 밤 열린 코파 델 레이 경기를 앞두고 묵념을 가진 뒤 선수들이 검은 완장을 차고 뛰었다.
엔케는 지난 2006년 심장병에 시달리던 두 살짜리 딸을 잃은 뒤 정신적인 고통과 심한 마음의 상처를 받아 우울증에 시달려온 것으로 알려졌으며, 경찰은 이를 자살의 원인으로 추측하였다.
엔케는 1985년 지역 클럽인 카를차이스 예나에서 프로 축구에 데뷔했으며, 1998년 보루시아 묀헨글라트바흐에서 활약할 당시에 청소년 대표팀에 처음으로 발탁되었다. 이후 그는 SL 벤피카, FC 바르셀로나, 페네르바체 SK, CD 테네리페를 거쳐 2004년부터 하노버 96의 주전 골키퍼로 활약해왔으며, 2007년부터 독일 대표팀에서 A매치 8경기에 출장하였다. 그는 UEFA 유로 2008 당시 대표팀 선수 명단에 포함되었으며, 2010년 FIFA 월드컵에서 대표팀 주전 수문장을 맡을 1순위 후보로 꼽혔다."
2010-01-09,"https://ko.wikinews.org/wiki/%ED%86%A0%EA%B3%A0_%EC%B6%95%EA%B5%AC_%EA%B5%AD%EA%B0%80%EB%8C%80%ED%91%9C%ED%8C%80,_%EC%95%99%EA%B3%A8%EB%9D%BC%EC%97%90%EC%84%9C_%ED%94%BC%EA%B2%A9","토고 축구 국가대표팀, 앙골라에서 피격","토고 축구 국가대표팀을 태운 버스가 앙골라의 국경을 넘은 후 카빈다를 지나던 도중 무장 괴한에게 피격당해, 버스를 몰던 운전사가 그 자리에서 사망하고 선수 2명 등 9명이 크게 부상하였다.
보도에 의하면, 카빈다에서 토고 대표팀을 공격한 괴한들은 기관총으로 총격을 가했으며, 반군단체인 카빈다해방전선 (FLEC)은 이 사건이 자신들의 소행이라고 주장하였다. 가브리엘 아메이 토고 축구 협회 부회장의 말에 의하면, 이번 총격으로 토고 대표팀의 중앙 수비수 세르제 아칵포와 백업 골키퍼 오빌랄레 코시 등이 총상을 입어 크게 다쳤다.
토고 대표팀은 10일 앙골라에서 개최되는 2010년 아프리카 네이션스컵에 참가하기 위해 버스로 이동하던 중이었으며, 아프리카 축구 연맹은 이번 불상사에도 불구하고, 토고 대표팀은 예정대로 대회에 참가해야 한다고 밝혔다. 하지만, 토고 대표팀의 미드필더 알라이시스 로마오는 이번 대회에 참가하지 말아야 한다고 주장하였으며, 토고 대표팀의 주장 에마뉘엘 아데바요르는 확실한 안전이 보장되지 않는다면 이 곳을 떠날 것이라고 덧붙였다."
2010-03-26,https://ko.wikinews.org/wiki/%EC%B2%9C%EC%95%88%ED%95%A8_%EC%B9%A8%EB%AA%B0,천안함 침몰,"2010년 3월 26일 21시 22분경, 대한민국 해군 제2함대 소속 천안함이 서해 백령도 남쪽 1.5 km 부근에서 경비 임무를 수행하던 도중 가스터빈실 좌현 하단부에서 감응어뢰의 강력한 수중폭발에 의해 선체가 절단되어 침몰하였다. PCC-772 천안은 충청남도 천안시의 이름을 딴 대한민국 해군의 포항급 초계함이다. 당시 천안함에는 승조원 104명이 탑승하고 있었으며, 3월 27일 자정에는 그 중 58명이 구조되었다.

이 사건은 1967년 당포함 침몰 사고 이후 대한민국 해군 역사상 2번째로 큰 참사로 기록될 전망이다. 2010년 3월 29일 천안함의 함수와 함미의 위치를 최종 식별하였다.2010년 4월 3일 실종자 1명의 시신(고 남기훈 상사)이 발견되었다. 그리고 2010년 4월 7일 또 다른 실종자 1명의 시신이 발견되었다."
2010-04-10,https://ko.wikinews.org/wiki/96%EB%AA%85_%ED%83%91%EC%8A%B9%ED%95%9C_%ED%8F%B4%EB%9E%80%EB%93%9C_%EB%B9%84%ED%96%89%EA%B8%B0_%EC%B6%94%EB%9D%BD,96명 탑승한 폴란드 비행기 추락,"카틴 숲의 학살 70주년 추모식에 참석하기 위해 대통령 및 폴란드 정부 고위관계자들을 태우고 바르샤바로부터 출발한 폴란드 공군 소속의 대통령 전용기 Tu-154M가 스몰렌스크 항공 기지에 착륙을 위해 진입하던 도중, 2010년 4월 10일 6시 56분 (모스크바 시간) 무렵, 기지로부터 1.5km 떨어진 지점에 추락했다. 사고 발생시 안개가 진하여 시야는 500m가량 이었고, 스몰렌스크 항공 기지는 계기착륙장치가 없었기 때문에 아침부터 폐쇄되어 있었다. 러시아 군 관계자는, 지상 관제탑에서 하강 속도를 줄이고 모스크바나 민스크로 회항하도록 수차례 요구하였으나 조종사가 이를 묵살하고 4번이나 무리한 착륙시도를 하던 도중 사고가 발생했다고 증언하였다."
2010-05-24,https://ko.wikinews.org/wiki/%EC%B9%B8_%EC%98%81%ED%99%94%EC%A0%9C_%ED%99%A9%EA%B8%88%EC%A2%85%EB%A0%A4%EC%83%81%EC%97%90_%27%EC%97%89%ED%81%B4%EB%B6%84%EB%AF%B8%27,칸 영화제 황금종려상에 '엉클분미',23일 오후(현지시간) 프랑스 칸에서 열린 제63회 칸 국제영화제 시상식에서 태국의 아피찻퐁 위라세타쿨 감독의 '엉클 분미'가 칸영화제의 최고 영예인 황금종려상을 차지했다. 여우주연상은 이란의 압바스 키아로스타미 감독의 영화 '증명서'(서티파이드 카피)에 출연한 프랑스 여배우 줄리엣 비노쉬에게 돌아갔다. 남우주연상은 알레한드로 곤잘레스 이냐리투 감독의 영화 '비우티풀'의 주연배우인 스페인의 하에베르 바르뎀과 이탈리아의 엘리오 게르마노가 공동 수상했다.
