title,writer,body
미운 아기 오리,"원작: 안데르센, 번역 : [김선희](https://blog.naver.com/thinkwalden)","시골에서는 밖이 무척 아름답다. 여름이었다. 밀밭은 황금빛으로, 귀리는 초록빛으로 물들고 아래 푸른 초원에는 건초더미가 쌓였다. 붉은 다리 황새가 종종 돌아다니며 어미 황새한테 배운 이집트 말로 꽥꽥거렸다. 들판과 초원 주위로 너른 숲이 우거지고 한가운데에는 깊은 호수가 여러 개 있었다. 그렇다, 정말이지 시골의 야외 풍경은 아름답다.
따사로운 햇살 속에, 오래된 영주의 저택이 호수에 둘러싸여 있다. 영주의 오른쪽 성벽에서 호수 쪽으로 커다란 우엉 잎이 자라는데 어떤 것들은 꽤나 높아서 어린아이들은 커다란 가지 맨 위에 올라가 설 수도 있었다. 숲 자체만큼이나 빽빽한 이 어지러운 나뭇잎 속에 오리 한 마리가 둥지를 틀고 앉아 새끼 오리를 낳고 있다. 어미는 아무래도 점점 지쳐가고 있다. 앉아 있는 게 엄청나게 지루한 일이고 혹시라도 들키면 안 되기 때문이다. 오리들은 이 우엉 잎 아래를 뒤뚱거리며 수다를 떠는 것보다 호수에서 헤엄치는 게 더 좋았다.
마침내 알이 하나씩 하나씩 갈라지기 시작했다.
“빽, 빽!”
어린 것들이 깨어나 울어대며 고개를 내밀었다.
“꽥, 꽥!”
어미 오리가 서둘러 말했다. 새끼들은 모두 종종거리며 나와서 우엉 잎 아래 초록 세상을 보았다. 엄마는 실컷 보게 해주었다. 초록색은 눈에 좋기 때문이다.
“세상 참 넓다.”
아기 오리들이 모두 말했다. 알 속보다 지금 확실히 더 넓은 곳에 있었다.
엄마가 아기들에게 물었다.
“여기가 세상의 전부라고 생각하니? 저런, 세상은 계속해서 뻗어 나간단다. 마당 저쪽으로, 그리고 목사의 들판까지. 난 다 보지도 못했어. 모두 다 알에서 나왔지?”
어미가 자리에서 일어나며 말했다.
“아니, 아직 아니네. 제일 큰 알이 아직 남아 있구나. 얼마나 걸리려나? 난 정말이지 몹시 피곤한데.”
어미는 다시 둥지에 앉았다.
“자, 어찌 되어 가고 있어요?”
한 나이 든 오리가 찾아와 물었다.
어미는 하나 남은 알에 앉아서 말했다.
“알 하나가 꽤 오래 걸리네요. 갈라질 생각을 안 해요. 그래도 다른 녀석들 좀 보세요. 최고로 귀여운 아이들이에요. 자기 아빠를 꼭 빼닮았어요. 참! 이런 나쁜…! 남편은 털끝조차 안 비치네!
노인 오리가 말했다.

“아직 갈라지지 않는다는 그 알 좀 들여다봅시다. 이런, 칠면조 알이네. 확실해요. 나도 한번 속았던 적이 있어요. 얼마나 애를 먹었는지 몰라요. 녀석들이 물을 무서워하더라고요. 내가 아무리 악다구니를 쳐도 아무 소용이 없었어요. 그 알 좀 봐요. 확실히 칠면조 알이에요. 내버려 두고 가서 다른 애들한테 헤엄치는 법이나 가르쳐요.”
“아, 조금만 더 앉아 있을게요. 벌써 아주 오랫동안 있었는걸요. 며칠 더 앉아 있는 게 낫겠어요.
“맘대로 해요.”
노파는 어슬렁어슬렁 멀어져 갔다.
마침내 그 큰 알을 깨고 아기가 나왔다.
“삑.”
아기가 아장아장 걸어 나왔는데 엄청나게 크고 못생겼다.
어미는 아기를 쳐다보고는 말했다.
“어마어마하게 커다란 오리네. 다른 오리하고 조금도 닮지 않았어. 정말 아기 칠면조일까? 좋아, 좋아! 내가 곧 알아내겠어. 녀석은 물속에 들어갈 거야. 내가 밀어 넣어서라도 말이야.”
다음 날 날씨가 아주 화창해서 태양이 그 초록 우엉 잎을 비추었다. 어미 오리는 성을 둘러싸고 있는 호수로 가족을 모두 이끌었다. 첨벙! 어미가 물속으로 들어갔다.
“꽥, 꽥!”
아기 오리가 한 마리, 한 마리씩 물에 들어갔다. 머리까지 풍덩 빠졌다. 하지만 눈 깜짝할 새 위로 올라와서 완벽하게 둥둥 떠다녔다. 다리가 저절로 움직여서 모두가 호수에 떠 있었다. 그 커다랗고 못생긴 회색 오리조차 내내 헤엄쳤다.
“이런, 칠면조가 아니야. 발도 멋지게 잘 움직이네. 몸도 곧게 펴고. 어쨌거나 내 아들이야. 찬찬히 보면 꽤 잘생겼어. 꽥, 꽥 엄마한테 와라. 엄마가 세상으로 데리고 가서 오리 농장을 보여줄게. 그래도 엄마 옆에 바싹 붙어 있어, 밟히지 않게. 고양이 조심하고!”
그렇게 오리 가족은 농장으로 나아갔다. 그곳에 큰 소동이 벌어지고 있었다. 오리 가족들이 장어 대가리를 두고 싸움을 벌이고 있었기 때문이다. 결국 고양이가 낚아채갔다.
“보라고, 저게 세상이야.”
어미도 그 장어 대가리에 군침이 돌았기에 부리를 핥으며 말했다.
“다리를 움직여. 바쁘게 돌아다녀. 저기 나이 든 오리 할머니한테 인사하고. 저 할머니는 아주 고상한 분이야. 스페인 피가 흐르지. 그래서 저리 살집이 좋은 거란다. 다리에 빨간 끈 조각 좀 보렴. 멋지지. 오리가 얻을 수 있는 최고의 표시란다. 그건 사람들이 저분을 놓치고 싶어 하지 않는다는 표시란다. 사람이나 짐승한테 특별한 관심을 끌어. 몸을 털어, 발끝을 안으로 돌리지 말고. 교육을 잘 받은 오리는 발끝을 밖으로 돌린단다. 부모가 하는 것처럼, 이렇게. 그러니까 이제! 이제 목을 숙이고 꽥 소리쳐 봐!”
아기들은 엄마가 시키는 대로 했다. 이들 주위로 다른 오리들이 구경하면서 크게 외쳤다.
“여기 좀 봐요! 또 새끼들이 태어났나 보네. 여기 오리가 부족한 줄 아나? 게다가, 저런! 뭐 저렇게나 못생긴 오리가 다 있지! 못 봐주겠군.”
어떤 오리 한 머리가 앞으로 나서더니 회색 오리 목을 콱 물었다.
어미가 소리쳤다.
“그 애 내버려 둬. 그 애는 아무 짓도 안 할 거예요. 그 애가 뭘 어쨌다고 그러는 거야?”
그러자 목을 물었던 오리가 말했다.
“안 하겠지. 근데 너무 크고 이상하잖아. 그러니까 한 번 호되게 맞아야 된다고.”

발에 빨간 끈 조각을 단 나이 든 오리가 말했다.
“잘 생긴 아이들을 두셨네요, 어머니. 다들 예뻐요, 저 한 녀석만 빼고요. 제대로 나오지 못했군요. 그 애를 다시 낳을 수도 없고, 안 됐네요.”
어미가 되받아쳤다.
“그건 어쩔 수 없는 거예요, 부인. 이 애는 그렇게 잘생기지는 못했어요. 하지만 아주 착하고 다른 아이들만큼 헤엄도 잘 쳐요. 아니, 조금 더 잘 친다고 말해야겠군요. 나이가 들면 외모가 좀 나아질 거예요. 조금 있으면 그렇게 크지도 않을 거예요. 알 속에서 너무 오래 있었어요. 그래서 외모가 좀 다른 거라고요.”
어미는 고개를 휙 돌리고는 부리로 새끼 오리의 깃털을 쓰다듬었다.
“게다가 이 아이는 수컷이에요. 그러니까 큰 게 그렇게나 문제가 되지 않을 거예요. 이 아이가 튼튼해질 거라 생각해요. 확실히 대단한 아이가 될 거라고요.”
나이 든 오리가 말했다.
“다른 새끼 오리들은 꽤나 귀엽군. 이제 여기 집에서 잘 지내도록 해요. 장어 대가리를 보면 나한테 가져오고요!”
그래서 그곳에서 편안하게 지냈다. 하지만 알에서 마지막으로 나온 그 가엾은 오리, 아주 못생긴 오리는 다른 오리 그리고 닭들한테 이리저리 쪼이고 밀리고 놀림을 당했다.
“저 애는 너무 커.”
모두 말했다. 박차처럼 뒤 발톱을 달고 태어났다고 자기가 황제라고 여기는 수컷 칠면조는 돛이 빵빵한 배처럼 몸을 부풀리면서 고르륵 고르륵 위협을 해대서 마침내 아기 오리는 얼굴이 새빨개졌다. 가엾은 아기 오리는 어디에 서 있어야 할지, 어디로 걸어가야 할지 알지 못했다. 자신이 너무도 못생겼기에, 농장 전체의 비웃음거리가 되어 몹시도 슬펐다.
그렇게 첫날이 지나갔다. 그러고 나서 더욱더 심해졌다. 이 불쌍한 새끼 오리는 모두에게 쫓겨 다니면서 얻어맞았다. 형제자매조차 이 아기 오리한테 못되게 굴었다. 형제들은 언제나 이렇게 말했다.
“아, 저 고양이가 너를 확 잡아버리면 좋겠어. 이 못생긴 녀석아.”
어미 오리도 말했다.
“차라리 멀리 가버리면 좋겠구나.”
오리들은 이 못생긴 아기 오리를 물어뜯고 암탉들은 콕콕 쪼아댔다. 농장에 모이를 주는 소녀는 발로 이 아기 오리를 툭툭 찼다.
그래서 아기 오리는 달아났다. 울타리를 넘어 멀리 달아났다. 덤불 속의 작은 새들이 놀라 쏜살같이 후다닥 날아올랐다.
‘내가 너무 못생겨서 저러는 거야.’
아기 오리는 눈을 질끈 감았다. 그래도 계속해서 달렸다. 마침내 들오리들이 사는 커다란 늪지에 이르렀다. 그곳에서 지치고 상심한 채 밤새도록 누워 있었다.
아침이 되자 들오리들이 날아와서 새로운 친구들을 보았다.
“넌 무슨 동물이니?”
아기 오리가 이리저리 몸을 돌리며 모두에게 고개를 숙여 인사하자, 들오리들이 물었다.
들오리들이 말했다.
“너 끔찍하게도 못생겼다. 그래도 뭐, 우리한테는 상관없어. 네가 우리 집안에 장가를 들지 않는 한…….”
가엾은 아기 오리! 결혼은 눈곱만큼도 생각이 없었다. 갈대밭에 앉아 늪지의 물을 조금 마시게만 해주면 더 이상 바랄 게 없었다.

그곳에서 아기 오리는 이틀을 꼬박 보냈다. 그러다가 좀 뻔뻔스러운 수컷 기러기 두 마리를 만났다. 확실히 알에서 나온 지 얼마 되지 않았다.
녀석들이 말했다.
“어이, 거기 친구. 너 참 못생겼구나. 그래서 네가 마음에 들어. 우리한테 와, 같이 철새가 되어 떠돌아다니자. 근처 다른 늪지에 아름다운 오리들이 있어. 다들 예쁘고 젊고 노래도 잘해. 네가 아내를 구할 좋은 기회야. 못생겼지만 운을 믿어 봐.”
탕! 탕!
허공에 총소리가 울려 퍼졌다. 이 수컷 녀석 두 마리는 갈대밭 사이로 그대로 떨어져 죽었다. 물이 기러기 피로 시뻘겋게 물들었다. 탕! 탕! 총소리가 올렸다. 사격이 또 시작되자 갈대밭에서 기러기 떼가 모두 날아올랐다. 어마어마한 사냥 중이었다. 사냥꾼들은 늪지 주위를 모두 에워쌌는데 어떤 이들은 심지어 갈대 위로 늘어진 나뭇가지에 자리를 잡았다. 파란색 연기가 나무 그늘에서 구름처럼 피어올라 물 위로 저 멀리 흘러갔다.
사냥개들이 뛰어들었다. 첨벙! 늪 사이로 사방에서 갈대가 쓰러졌다. 그 모습이 아기 오리는 너무 무서워서 고개를 돌려 날개 사이로 파묻었다. 하지만 바로 이 순간에 무시무시한 커다란 개 한 마리가 아기 오리 바로 앞에 나타났다. 혀를 주둥이 밖으로 쑥 내밀고 그 사악한 눈동자로 끔찍하게 노려보았다. 커다란 주둥이를 벌려 날카로운 이빨을 번쩍 드러냈다. 철퍽, 철퍽. 사냥개는 아기 오리를 건드리지 않고 계속 걸어갔다.
아기 오리는 한숨을 푹 내쉬었다.
“천만다행이야. 내가 엄청나게 못생겨서 저 개도 굳이 나를 물려고 들지 않네.”
오리는 꼼짝도 안 하고 잠자코 있었다. 그 사이 총성은 계속되어 총알이 갈대밭 사이로 후드득 떨어졌다. 그날 늦게 다시 주위가 잠잠해졌다. 그때조차 이 가엾은 아기 오리는 감히 움직이지 못했다. 서너 시간이나 기다리고 나서 과감히 주위를 둘러보았다. 이윽고 그 늪지에서 죽어라 달아났다. 오리는 들판과 초원을 지났다. 바람이 세차게 불어와서 발걸음을 옮기기가 무척이나 힘들었다.
저녁 늦게, 작고 허름한 가축우리에 도착했다. 그 가축우리는 금방이라도 무너질 것 같았다. 마치 어느 쪽으로 넘어질지 몰라서 그냥 그렇게 서 있는 듯했다. 바람이 무척이나 세차게 불어서 이 가엾은 미운 오리는 바람을 견디려 바닥에 주저앉아야 했다. 폭풍은 점점 더 거세졌다. 그래도 경첩 하나가 헐거워진 바람에 문이 꽤 기울어져서 그 틈으로 몸을 밀어 넣을 수 있다는 것을 알아차렸다. 그래서 안으로 몸을 밀어 넣었다.
거기, 한 노파가 고양이 한 마리와 암탉 한 마리와 함께 살고 있었다. 고양이는 노파가 “우리 아가”라고 불렀는데 등을 둥글게 말기도, 가르랑거리기도, 심지어 털을 곤두세우면 불꽃을 피울 수도 있었다. 암탉은 다리가 무척 짧아서 노파가 ‘짧은 다리 꼬꼬’라고 불렀다. 짧은 다리 꼬꼬는 알을 잘 낳아서 노파는 마치 자기 아이처럼 이 암탉을 애지중지 여겼다.
아침이 되자 고양이와 암탉은 이 이상한 아기 오리를 금세 알아차렸다. 고양이는 가르랑거리고 암탉은 꼬꼬댁 꼬꼬 울어대기 시작했다.
“도대체 무슨 일인데 그러냐?”
노파가 주위를 둘러보았다. 하지만 눈이 좋지 않았다. 그래서 이 아기 미운 오리를 길 잃은 통통한 오리로 착각했다.
“잘 잡았네. 이제 오리 알이 생기겠어. 녀석이 수컷이 아니라면 말이야. 한번 지켜보자꾸나.”

그렇게 해서 3주 동안 그럭저럭 지내게 되었다. 하지만 오리는 알을 하나도 낳지 못했다.
이 집에는 고양이가 바깥주인이고 암탉이 안주인이었다. 둘은 언제나 말했다.
“우리가 바로 이 세상이야.”
둘은 자기들이 세상의 반이며, 단연코 나머지 반보다 자기들이 낫다고 생각했다. 아기 오리는 다르게 생각했지만 암탉은 귀담아들으려 하지 않았다. 암탉이 물었다.
“너 알 낳을 수 있어?”
“아니.”
“그럼 그 입 다물고 있는 게 좋아.”
고양이가 물었다.
“너 등을 둥글게 말 수 있어? 가르랑 거리는 건? 불꽃을 피우는 건?”
“아니.”
“그럼 현명하신 분들이 말할 때는 잠자코 있어.”
아기 오리는 몹시 낙담한 채 구석에 앉아 있었다. 그러다 문득 신선한 공기와 햇빛이 기억났다. 호수에서 헤엄치고 싶은 마음이 간절해서 어쩔 수 없이 암탉에게 그 말을 털어놓았다.
암탉이 소리쳤다.
“도대체 뭔 생각을 하는 거니? 할 일이 없구나. 그러니까 그런 멍청한 생각이 드는 거라고. 우리한테 알을 낳아주든지 안 그러면 가르랑거리는 거나 배워. 그러면 그따위 생각이 안 들 거야.”
“하지만 물 위를 둥둥 떠다니면 기분이 정말 좋아. 물속으로 들어갈 때 물이 머리 위로 쏟아지는 느낌이 정말 좋거든.”
“그래 엄청 좋을 거야. 넌 정신이 나간 게 틀림없어. 고양이한테 물어봐. 고양이는 내가 아는 제일 영리한 애거든. 그 애가 헤엄치거나 물속에 들어가는 게 좋은지 어쩐지 말이야. 뭐, 나는 굳이 말하지 않겠어. 그래도 우리 주인 노파한테 물어봐. 이 세상에서 그 노파만큼 현명한 사람은 없으니까. 그 할머니가 헤엄치러 가서 물을 머리 위에 뒤집어쓰는 거 좋아할 것 같니?”
“너는 내 말을 이해 못 하는구나.”
아기오리가 대답했다.
“저런, 우리가 이해 못 하면 누가 이해를 하니? 혹시 너 고양이하고 노파보다 네가 더 영리하다고 생각하는 거 아니지? 나는 말할 것도 없고……. 꼬맹아, 까불지 마. 너한테 베푼 친절을 감사히 여기라고. 이 아늑한 방에 들어와서 너한테 이래라, 저래라 가르치는 사람들하고 살고 있지 않니? 하지만 넌 지독한 멍청이라서 너랑 있는 건 재미 하나도 없어. 정말이지, 이것도 다 너 잘 되라고 하는 소리야. 듣기 싫은 소리를 하고 있지만, 이게 바로 누가 네 진짜 친구인지 네가 알 수 있는 유일한 길이라고. 그러니 알이나 확실히 낳아. 가르랑거리거나 불꽃을 피우는 걸 어서 빨리 배우라고.”
“나는 넓은 세상으로 나가는 게 좋겠어.”
“좋을 대로 하셔.”
그렇게 오리는 그 집을 떠나 길을 나섰다. 곧 물을 찾아 헤엄도 치고 물장구도 쳤다. 하지만 살아있는 동물은 모두가 아기 오리가 못생겼다며 무시했다.
가을이 되어, 숲속 나뭇잎은 알록달록 단풍이 들고, 바람은 나뭇잎을 멀리멀리 데리고 갔다. 눈과 폭풍으로 구름이 낮게 깔리자 하늘이 꽁꽁 얼어붙은 듯 보였다. 까마귀가 울타리에 앉은 비명을 질러대며 추위에 벌벌 떨었다.

“깍! 깍!”
추위를 생각하자 오리는 몸이 부르르 떨렸다. 가엾은 오리!
어느 날 저녁, 태양이 자취를 감추자 갈대밭에서 아주 멋지고 커다란 새 무리가 나타났다. 아기 오리는 그렇게 아름다운 새를 본 적이 없었다. 이 새들은 우아하고 긴 목이 달렸는데 새하얗게 빛났다. 백조였다. 이 새들은 보다 따뜻한 땅, 그리고 드넓은 물을 향해 이 차가운 땅에서 날아오르려 웅장한 날개를 펴며 이상한 울음을 토해냈다. 새들은 높이, 아주 높이 올라갔다. 못생긴 아기 오리는 이 새들을 지켜보면서 왠지 모르게 마음이 불편했다. 물속을 바퀴처럼 빙글빙글 돌았다. 아기 오리는 이 새들이 지나간 자리를 따라서 목을 길게 빼고는 기괴하고도 야릇한 소리를 질렀다. 스스로도 깜짝 놀랐다. 아! 아기 오리는 저 화려하고 행복한 새들을 잊을 수가 없었다. 더 이상 그 새들이 눈에 들어오지 않게 되었을 때, 아주 깊숙이 물속으로 들어갔다. 다시 물 위로 올라왔을 때는 어쩔 줄을 몰랐다. 그 새들이 무슨 새인지, 어디로 가는지 몰랐다. 하지만 그 어느 것보다 그 새들을 사랑했다. 부러워서가 아니었다. 어떻게 자신이 그렇게나 대단한 아름다움을 꿈꾸고 바랄 수 있을까? 오리들이 자신을 견뎌준다면 그저 고맙기만 할 것이다. 가엾은 미운 아기 오리.
겨울은 점점 추워졌다. 어찌나 추운지 물이 얼지 않도록 계속해서 물속에서 이리저리 헤엄쳐야 했다. 하지만 밤마다 헤엄치는 구멍은 계속해서 작아졌다. 이윽고 물이 꽁꽁 얼어서 오리는 그 쩍쩍거리는 얼음이 다가오지 못하도록 계속 움직였다. 마침내 움직이기도 너무 지쳤다 얼음 속에서 꽁꽁 얼어붙고 말았다.
아침 일찍 농부가 지나가다가 보고 연못으로 가서 나무 신발로 얼음을 깨고는 아기 오리를 아내가 있는 집으로 데려갔다. 거기에서 살아나긴 했지만, 아이들이 오리와 놀려고 했을 때, 오리는 자신을 해치는 줄 알고 놀라 우유 통으로 뛰어 들어가다가 사방에 우유를 흩뿌리고 말았다. 부인이 비명을 질러대며 두 손을 들어 올리자 오리는 버터 통으로 날아갔다가 여물통을 드나들었다. 이제 오리가 어찌 보이는지 상상해 보라! 여인은 비명을 지르며 부집게로 오리를 후려쳤다. 아이들은 오리를 잡으려다 서로 걸려 넘어졌다. 깔깔 웃으며 소리를 질러댔다. 다행히도 문이 열려 있었다. 오리는 수풀 속으로 달아났다. 그곳 새로 내린 눈 속에 어리둥절한 채 잠자코 있었다.
오리가 이 혹독한 겨울 동안 견뎌야 했던 고난과 비참함은 너무 슬퍼서 이루 다 말로 표현할 수 없을 것이다. 따뜻한 태양이 한 번 더 비출 때, 아기 오리는 그래도 늪지 갈대밭에서 목숨을 부지하고 있었다. 종달새가 다시 지저귀기 시작했다. 아름다운 봄이 되었다.
그런데 문득 아기 오리는 날개를 들어보았다. 전보다 더 힘차게 공기를 갈랐다. 힘이 좋으니 오리의 몸을 멀리 데리고 나갔다. 무슨 일인지 미처 알아차리기도 전에 자신이 사과나무 꽃이 활짝 핀 커다란 정원에 있다는 것을 알았다. 달콤한 라일락 향기 가득하고 긴 꽃송이가 달린 초록색 가지가 구불구불 흐르는 시내 위로 드리워져 있다. 아, 여기는 무척이나 사랑스럽고 싱그러운 봄이다!
미운 오리 앞 덤불 속에서 아름다운 하얀 백조 세 마리가 다가왔다. 백조들은 깃털을 곤두세우고는 시냇물 속에서 경쾌하게 헤엄쳤다. 아기 오리는 저 고상한 동물들을 알아보았다. 그러자 야릇한 슬픔이 밀려왔다.
“난 저 고귀한 새들 가까이 날아가겠어. 저 새들은 나를 콕콕 찌르려 들겠지. 못생긴 주제에 다가온다고 말이야. 하지만 난 신경 쓰지 않겠어. 저 백조들한테 죽는 게 더 나아, 오리들한테 물리고, 암탉한테 쪼이고, 닭장 소녀한테 발로 차이고, 겨울에 죽도록 고생하는 것보다는…….”

그렇게 아기 오리는 물속으로 날아 들어가 그 화려한 백조들을 향해 헤엄쳐갔다. 백조들이 미운 아기 오리를 보고는 깃털을 부풀리며 스르르 다가왔다.
“나를 죽여요!”
가엾은 아기 오리가 말했다. 그러면서 죽음을 기다리며 물 위로 고개를 숙였다. 하지만 거기 투명한 시냇물에 비친……. 오리가 본 모습은? 오리는 자신의 모습을 보았다. 더 이상 꼴사납고 못생긴 잿빛 새의 모습은 보이지 않았다. 바로 자신의 모습이 보였다! 오리 농장에서 태어난 건 아무 문제가 아니다……, 백조의 알에서 나왔다면.
미운 아기 오리는 무수한 고난과 역경을 거쳤기에 무척 기뻤다. 이제 자신이 만난 행운과 아름다움을 완전히 이해했다. 커다란 백조들이 주위로 다가와 부리로 쓰다듬어 주었다.
몇몇 어린아이들이 정원으로 와서 물 위로 곡식과 빵조각을 던졌다. 가장 어린아이가 소리쳤다.
“여기 백조 한 마리가 새로 왔어.”
다른 아이들도 즐겁게 외쳤다.
“그래, 새 백조가 왔어.”
아이들은 손뼉을 치며 빙글빙글 춤을 추고는 부모님을 데리고 왔다.
사람들은 빵과 과자를 던져 주었다. 모두들 입을 모아 말했다.
“새로운 백조가 제일 잘생겼구나. 아주 젊고 무척 예뻐.”
나이 든 백조들이 기쁘게도 고개를 숙였다.
그러자 아기 오리는 너무 부끄러워서 고개를 날개 속에 파묻었다. 이게 다 어찌 된 일인지 알지 못했다. 무척이나 행복했지만 전혀 자랑스러워하지 않았다. 착한 마음씨는 절대 그런 법이 없기 때문이다. 자신이 무시당하고 놀림당하던 일을 떠올렸다. 그런데 이제 모두들 가장 아름답고 아름다운 새라고 칭찬하는 소리가 들렸다. 라일락은 이 백조 앞 시냇물에 꽃송이를 담갔다. 태양은 아주 따스하고도 포근하게 비추었다. 어린 백조는 깃털을 부풀리고는 가녀린 목을 높이 들고 가슴이 터질 듯 소리쳤다.
“못생긴 오리였을 때는 이렇게나 큰 행복을 꿈도 꿀 수 없었어.”
"
성냥팔이 소녀,"원작: 안데르센, 번역 : [김선희](https://blog.naver.com/thinkwalden)","지독히도 추운 날이었다. 눈이 내리고 어둠이 찾아왔다. 그해의 마지막 저녁이었다. 한 가엾은 소녀가 모자도 쓰지 않고 맨발로 춥고 우울하게 거리를 걷고 있다. 물론 집을 나설 때 신발을 신고 있었지만 지금은 아무 소용이 없었다. 신발은 엄마의 것이었기에 소녀에게 너무 컸다. 어린 소녀는 길을 뛰어 건너다가 신발 한 짝을 잃어버렸는데 마차 두 대가 덜컹거리며 엄청나게 빨리 지나가는 바람에 신발을 다시 찾을 수 없었다. 한 소년이 나중에 아이를 낳으면 요람으로 쓰겠다면서 나머지 한 짝을 가지고 달아나버렸다. 그래서 어린 소녀는 맨발로 걷고 있었다. 두 발은 꽁꽁 얼어 울긋불긋했다. 낡은 앞치마에 들고 가는 성냥갑 몇 개가 있었다. 소녀는 성냥 하나를 손으로 들어 내밀었다. 하지만 하루 종일 소녀한테 성냥을 사려는 사람은 아무도 없었다. 단 한 사람도 1센트를 주지 않았다.
추위와 배고픔으로 벌벌 떨면서 소녀는 기어갔다. 비참한 그림이다, 가엾은 소녀!
눈꽃이 소녀의 긴 머리카락 위로 떨어져 내려 목을 구불구불 휘감았다. 창문으로 불빛이 새어 나오고 거위를 굽는 근사한 냄새도 흘러나왔다. 한 해의 마지막 날이었다. 그렇다, 소녀는 그 생각이 간절했다!
집 두 채 사이 모퉁이에 다른 집보다 길 쪽으로 더 튀어나온 곳이 있었는데 소녀는 그곳에  앉아서 발을 끌어당겨 몸을 웅크렸다. 점점 더 몸이 추웠다. 하지만 집에 갈 엄두가 나지 않았다. 성냥을 팔지 못했기에, 1센트도 벌지 못했기에 아버지는 분명 이 소녀를 흠씬 두들겨 팰 것이다. 게다가 집은 너무 추웠다. 지붕 말고는 불어대는 바람을 가릴 게 없었다. 제일 크게 갈라진 틈을 지푸라기와 천 조각으로 막았는데도 그랬다.
손은 동상을 입은 듯 거의 움직일 수도 없었다. 작은 성냥 하나가 온기를 어느 정도 더해줄지도 몰랐다! 소녀가 성냥갑에서 성냥 하나를 꺼내 벽에 그어서 손을 따뜻하게 할 수만 있다면……. 소녀는 하나를 꺼냈다. 치지직! 성냥은 탁 소리를 내며 타올랐다! 온기를 주며 작은 초처럼 환한 불꽃을 일으켰다. 소녀가 그 불꽃 위로 손을 올리자, 이상한 빛이 일었다! 정말이지 반짝반짝 빛나는 황동 손잡이와 뚜껑이 달린 거대한 쇠 난로 앞에 자신이 앉아 있는 것 같았다. 불이 얼마나 멋지게 타오르는지! 얼마나 편안한지! 소녀가 발도 녹이려 발을 내밀었다. 문득 작은 불꽃이 꺼지고 난로는 사라졌다. 손안에는 다 타버린 성냥만 남아 있었다.
소녀는 성냥을 하나 더 벽에 그었다. 성냥은 밝게 타올랐다. 불빛이 벽을 비추자, 하늘하늘한 막처럼 투명해져서 방 안을 훤히 들여다볼 수가 있었다. 탁자에 눈처럼 하얀 식탁보가 덮여있고, 그 위에 찬란하게 빛나는 저녁 식사가 차려있다. 사과와 자두로 속을 채워 구운 거위에서 먹음직스럽게 김이 모락모락 피어올랐다. 더더군다나 그 거위가 접시에서 펄쩍 뛰어내려 칼과 포크를 가슴에 품고 이 어린 소녀에게 곧장 걸어왔다. 문득 성냥이 꺼졌다. 두껍고 차가운 벽만 보일뿐이었다. 성냥 하나를 더 밝혔다. 문득 소녀가 몹시도 아름다운 크리스마스트리 아래 앉아 있다. 작년 크리스마스에 부자 상인의 집 유리문을 통해 본 것보다 훨씬 더 아름다웠다. 수천 개의 초가 초록 나뭇가지 위에서 활활 타오르고 판화 가게에 있는 것과 같은 알록달록한 그림이 소녀를 내려다보았다. 어린 소녀는 두 손을 내밀었다. 문득 성냥이 꺼졌다. 크리스마스 불빛은 더 높이 올라갔다. 불빛은 이제 하늘에 환한 별처럼 보였다. 별 하나가 길게 줄을 이루며 떨어져 내렸다. 소녀는 생각했다.

‘지금 누군가가 저세상으로 가고 있구나.’
지금은 저세상으로 간, 누구보다 소녀를 사랑했던 할머니는 별이 떨어져 내리면 영혼 하나가 하늘로 올라간 것이라고 말해 주었다.
성냥을 하나 더 벽에 그었다. 다시 환하게 불꽃이 일었다. 그 불꽃 속에 할머니가 친절하고도 사랑스럽게, 맑고 환하게 빛을 내며 서 있었다.
소녀가 외쳤다.
“할머니! 아, 저를 데려가 주세요! 성냥이 꺼지면 할머니가 사라지리란 걸 알아요. 할머니는 따뜻한 난로처럼 사라질 거예요. 저 맛있는 거위와 아름다운 크리스마스트리처럼요!”
소녀는 할머니와 함께 있고 싶었기에 재빨리 성냥 꾸러미를 모두 밝혔다. 성냥이 무척이나 환하게 빛나서 낮보다 더 밝아졌다. 할머니가 그렇게나 웅장하고 아름다운 적이 없었다. 할머니가 소녀를 품에 안았다. 두 사람은 땅 위로 밝고도 경쾌하게 날아올랐다. 아주, 아주 높이. 저 위 추위도 배고픔도, 두려움도 없는 곳으로……. 두 사람은 하느님과 함께 있었다.
하지만 모퉁이에서, 미소 짓는 입술에 붉은 뺨의 어린 소녀가 벽에 기대어 앉아 묵은 해의 마지막 밤에 얼어 죽었다. 새해의 태양이 측은한 한 사람의 모습 위로 떠올랐다. 소녀는 그곳에 얼어 뻣뻣하게 앉아있었다, 거의 다 타버린 성냥 꾸러미를 움켜쥔 채로…….
"
